Date,Qwinj 0866-A1b,Qwinj 0866-A1c,Qwinj 0866-A1f,Qwinj 0866-A2,Qwinj 0866-A2i,Qwinj 0867-B2b,Qwinj 0867-B2c,Qwinj 0867-B2e,Qwinj 0867-B3,Qwinj 1318-A1f,Qwinj 1318-A2,Qwinj 1318-A2i,Qwinj 1318-A3,Qwinj 1318-B1,Qwinj 1318-B1i,Qwinj 1318-B2,Qwinj 1318-B2b,Qwinj 1318-B2c,Qwinj 1318-B2d,Qwinj 1318-B2e,Qwinj 1319-A1,Qwinj 1319-A1a,Qwinj 1319-A1b,Qwinj 1319-A1c,Qwinj 1319-A1d,Qwinj 1319-A1f,Qwinj 1319-A2,Qwinj 1319-A2i,Qwinj 1319-B2,Qwinj 1319-B2c,Qwinj 0839-A1,Qwinj 0839-A1a,Qwinj 0839-A1b,Qwinj 0839-A1c,Qwinj 0839-A1d,Qwinj 0829-B1,Qwinj 0829-B1i,Qwinj 0829-B2,Qwinj 0843-A1,Qwinj 0843-A1a,Qwinj 0843-A1b,Qwinj 0843-A1c,Qwinj 0843-A1f,Qwinj 0843-A2,Qwinj 0844-A2i,Qwinj 0844-A3,Qwinj 0844-B1i,Qwinj 0844-B2,Qwinj 0844-B2b,Qwinj 0844-B2c,Qwinj 0844-B2d,Qwinj 0844-B2e,Qwinj 0451-B1,Qwinj 0451-B1i,Qwinj 0451-B2,Qwinj 1317-A2,Qwinj 1317-A2i,Qwinj 1317-A3,Qwinj 1317-B1,Qwinj 1317-B1i,Qwinj 1317-B2,Qwinj 1317-B2b,Qwinj 1317-B2c,Qwinj 1317-B2d,Qwinj 1317-B2e,Qwinj 1317-B3,Qwinj 1317-C,Qwinj 0853-A1b,Qwinj 0853-A1c,Qwinj 0853-A1f,Qwinj 0853-A2,Qwinj 0853-A2i,Qtotal 402
1/31/17,0,92.94,0,82.98,214.09,111.76,0,83.42,34.82,91.44,69.93,0,0,0,0,0,12.5,25.43,0,0,0,34.03,52.51,0,0,60.42,130.56,358.03,171.86,157.54,15.14,13.46,127.01,114.39,0,4.64,12.6,2.76,0,0,0,0,0,0,57.24,78.06,0,33.83,7.81,274.52,13.01,45.54,0,0,0,0,0,8.8,8.8,134.23,113.33,0,84.72,11,23.11,2.2,63.81,0,0,0,0,0,639.75
2/1/17,0,90.55,0,80.85,208.6,111.76,0,83.42,34.82,91.44,69.93,0,0,0,0,0,12.5,25.43,0,0,0,34.03,52.51,0,0,60.42,130.56,358.03,171.86,157.54,15.14,13.46,127.01,114.39,0,4.64,12.6,2.76,0,0,0,0,0,0,57.24,78.06,0,33.83,7.81,274.52,13.01,45.54,0,0,0,0,0,8.8,8.8,134.23,113.33,0,84.72,11,23.11,2.2,63.81,0,0,0,0,0,581.74
2/2/17,0,90.55,0,80.85,208.6,111.76,0,83.42,34.82,91.44,69.93,0,0,0,0,0,12.5,25.43,0,0,0,28.92,47.22,0,51.35,51.35,110.97,104.48,56.67,59.03,15.14,13.46,127.01,114.39,0,4.64,12.6,2.76,0,0,0,0,0,0,57.24,78.06,0,33.83,7.81,274.52,13.01,45.54,0,0,0,0,0,8.8,8.8,134.23,113.33,0,84.72,11,23.11,2.2,63.81,0,0,0,0,0,515.59
2/3/17,0,88.86,0,79.34,204.68,110.91,0,82.78,34.56,90.74,69.39,0,0,0,0,0,12.5,25.23,0,0,0,28.7,46.86,0,50.96,50.96,110.12,103.68,56.23,58.58,14.86,13.21,124.63,112.25,0,4.61,12.5,2.74,0,0,0,0,0,0,56.81,77.46,0,33.57,7.75,272.42,12.91,45.19,0,0,0,0,0,8.73,8.73,133.2,112.46,0,84.07,10.92,22.93,2.18,63.33,0,0,0,0,0,715.41
2/4/17,0,90.55,0,80.85,208.6,111.76,0,83.42,34.82,91.44,69.93,0,0,0,0,0,12.5,25.43,0,0,0,28.92,47.22,0,51.35,51.35,110.97,104.48,56.67,59.03,15.14,13.46,127.01,114.39,0,4.64,12.6,2.76,0,0,0,0,0,0,57.24,78.06,0,33.83,7.81,274.52,13.01,45.54,0,0,0,0,0,8.8,8.8,134.23,113.33,0,84.72,11,23.11,2.2,63.81,0,0,0,0,0,714.52
2/5/17,0,90.55,0,80.85,208.6,111.76,0,83.42,34.82,91.44,69.93,0,0,0,0,0,12.5,25.43,0,0,0,28.92,52.51,0,0,51.35,110.97,358.03,171.86,157.54,14.02,12.46,117.6,105.92,0,4.64,12.6,2.76,0,0,0,0,0,0,50.51,68.88,0,29.85,6.89,242.22,11.48,40.18,0,0,0,0,0,8.8,8.8,134.23,113.33,0,84.72,11,23.11,2.2,63.81,0,0,0,0,0,714.49
2/6/17,0,90.55,0,80.85,208.6,111.76,0,83.42,34.82,91.44,69.93,0,0,0,0,0,12.5,25.43,0,0,0,29.49,48.15,0,52.36,52.36,113.15,106.53,57.78,60.19,14.02,12.46,117.6,105.92,0,4.64,12.6,2.76,0,0,0,0,0,0,50.51,68.88,0,29.85,6.89,242.22,11.48,40.18,0,0,0,0,0,8.8,8.8,134.23,113.33,0,84.72,11,23.11,2.2,63.81,0,0,0,0,0,714.52
2/7/17,0,90.55,0,80.85,208.6,111.76,0,83.42,34.82,91.44,69.93,0,0,0,0,0,12.5,25.43,0,0,0,29.49,52.51,0,0,52.36,113.15,358.03,171.86,157.54,14.02,12.46,117.6,105.92,0,4.64,12.6,2.76,0,0,0,0,0,0,161.3,24.55,0,31.56,8.18,177.66,19.87,26.88,0,0,0,0,0,8.8,8.8,134.23,113.33,0,84.72,11,23.11,2.2,63.81,0,0,0,0,0,714.29
2/8/17,0,90.55,0,80.85,208.6,111.76,0,83.42,34.82,91.44,69.93,0,0,0,0,0,12.5,25.43,0,0,0,29.49,52.51,0,0,52.36,113.15,358.03,171.86,157.54,14.02,12.46,117.6,105.92,0,4.64,12.6,2.76,0,0,0,0,0,0,161.3,24.55,0,31.56,8.18,177.66,19.87,26.88,0,0,0,0,0,8.8,8.8,134.23,113.33,0,84.72,11,23.11,2.2,63.81,0,0,0,0,0,712.84
2/9/17,0,90.55,0,80.85,208.6,111.76,0,83.42,34.82,91.44,69.93,0,0,0,0,0,12.5,25.43,0,0,0,29.49,52.51,0,0,52.36,113.15,358.03,171.86,157.54,16.26,14.45,136.42,122.87,0,4.64,12.6,2.76,0,0,0,0,0,0,161.3,24.55,0,31.56,8.18,177.66,19.87,26.88,0,0,0,0,0,8.8,8.8,134.23,113.33,0,84.72,11,23.11,2.2,63.81,0,0,0,0,0,915.53
